payment_id,issuer,payment_method,amount_inr,status,error_reason,hour_of_day,day_of_month
pay_northwind_0114,Axis Bank Ltd.,upi,4319.3,captured,,10,28
pay_northwind_0115,State Bank of India,upi,292.85,captured,,22,22
pay_northwind_0116,Indusind Bank Ltd.,upi,18.03,failed,authorisation_declined_by_psp,5,27
pay_northwind_0117,Central Bank of India,upi,742.56,captured,,4,8
pay_northwind_0118,State Bank of India,upi,22282.68,captured,,4,4
pay_northwind_0119,State Bank of India,netbanking,778.38,captured,,10,5
pay_northwind_0120,Axis Bank Ltd.,upi,940.73,captured,,23,22
pay_northwind_0121,Bank of Baroda,upi,178.78,captured,,23,14
pay_northwind_0122,State Bank of India,upi,470.67,captured,,18,7
pay_northwind_0123,HDFC Bank Ltd.,card,618.16,captured,,2,22
pay_northwind_0124,Bank Of India,upi,2671.51,captured,,3,22
pay_northwind_0125,HDFC Bank Ltd.,netbanking,2222.54,captured,,16,10
pay_northwind_0126,HDFC Bank Ltd.,upi,419.41,captured,,1,22
pay_northwind_0127,Canara Bank,upi,318.21,captured,,0,28
pay_northwind_0128,State Bank of India,upi,694.43,captured,,2,28
pay_northwind_0129,Union Bank of India,upi,167.03,captured,,4,17
pay_northwind_0130,Federal Bank Ltd.,upi,64.16,captured,,9,3
pay_northwind_0131,State Bank of India,upi,54.29,captured,,0,27
pay_northwind_0132,Fino Payments Bank Ltd.,upi,848.45,captured,,14,11
pay_northwind_0133,Punjab National Bank,upi,823.82,captured,,1,24
pay_northwind_0134,HDFC Bank Ltd.,upi,35.56,captured,,0,14
pay_northwind_0135,Fino Payments Bank Ltd.,upi,281.6,captured,,0,19
pay_northwind_0136,Indian Overseas Bank,upi,386.13,captured,,22,4
pay_northwind_0137,State Bank of India,upi,516.69,captured,,23,27
pay_northwind_0138,State Bank of India,upi,598.92,captured,,14,28
pay_northwind_0139,ICICI Bank Ltd.,upi,586.26,captured,,2,4
pay_northwind_0140,State Bank of India,upi,743.75,captured,,5,15
pay_northwind_0141,State Bank of India,upi,762.74,captured,,12,9
pay_northwind_0142,India Post Payments Bank Limited,upi,572.65,captured,,3,15
pay_northwind_0143,Central Bank of India,upi,3769.91,captured,,2,22
pay_northwind_0144,Axis Bank Ltd.,upi,940.53,captured,,13,27
pay_northwind_0145,State Bank of India,card,522.99,captured,,3,5
pay_northwind_0146,Bank of Baroda,upi,973.94,captured,,0,26
pay_northwind_0147,Kotak Mahindra Bank,card,465.63,failed,transaction_frequency_limit_exceeded,3,23
pay_northwind_0148,Indusind Bank Ltd.,upi,937.27,failed,payment_pending_approval,0,4
pay_northwind_0149,Kotak Mahindra Bank,upi,21.99,captured,,4,14
pay_northwind_0150,Kotak Mahindra Bank,upi,589.78,captured,,5,20
pay_northwind_0151,State Bank of India,upi,19.46,captured,,8,6
pay_northwind_0152,Indian Bank,upi,944.29,captured,,4,13
pay_northwind_0153,HDFC Bank Ltd.,upi,507.82,captured,,23,1
pay_northwind_0154,ICICI Bank Ltd.,upi,993.29,captured,,1,13
pay_northwind_0155,Airtel Payments Bank Limited,upi,4548.75,captured,,5,22
pay_northwind_0156,State Bank of India,upi,3816.17,captured,,19,10
pay_northwind_0157,Canara Bank,upi,667.98,captured,,5,25
pay_northwind_0158,State Bank of India,upi,840.81,captured,,4,28
pay_northwind_0159,Bank of Maharashtra,upi,135.49,captured,,23,6
pay_northwind_0160,India Post Payments Bank Limited,upi,4899.22,failed,insufficient_funds,5,16
pay_northwind_0161,Bank Of India,upi,542.46,captured,,2,16
pay_northwind_0162,Union Bank of India,upi,657.15,captured,,13,2
pay_northwind_0163,Axis Bank Ltd.,netbanking,629.15,captured,,1,3
pay_northwind_0164,State Bank of India,upi,142.54,captured,,23,14
pay_northwind_0165,Axis Bank Ltd.,upi,184.62,captured,,2,18
pay_northwind_0166,Kotak Mahindra Bank,upi,863.6,captured,,4,26
pay_northwind_0167,Federal Bank Ltd.,upi,74.33,captured,,1,16
pay_northwind_0168,Bank of Baroda,upi,115.38,captured,,5,26
pay_northwind_0169,State Bank of India,upi,674.91,captured,,23,6
pay_northwind_0170,Union Bank of India,card,234.93,captured,,2,26
pay_northwind_0171,State Bank of India,upi,994.19,failed,otp_expired,20,4
pay_northwind_0172,Central Bank of India,upi,1598.59,failed,order_already_paid,0,10
pay_northwind_0173,HDFC Bank Ltd.,upi,300.76,captured,,12,20
pay_northwind_0174,State Bank of India,card,739.8,captured,,23,22
pay_northwind_0175,State Bank of India,upi,4807.35,captured,,5,8
pay_northwind_0176,State Bank of India,upi,396.31,captured,,23,27
pay_northwind_0177,Bank Of India,upi,62.76,captured,,4,7
pay_northwind_0178,Axis Bank Ltd.,upi,43.21,captured,,3,24
pay_northwind_0179,Bank Of India,upi,798.95,captured,,8,19
pay_northwind_0180,Indian Overseas Bank,upi,420.25,failed,bank_technical_error,3,4
pay_northwind_0181,State Bank of India,upi,467.2,captured,,2,25
pay_northwind_0182,Bank Of India,upi,667.0,captured,,23,26
pay_northwind_0183,Airtel Payments Bank Limited,card,771.49,captured,,5,3
pay_northwind_0184,Canara Bank,upi,185.19,captured,,23,7
pay_northwind_0185,Punjab National Bank,card,730.07,captured,,21,3
pay_northwind_0186,Axis Bank Ltd.,upi,71.69,captured,,5,19
pay_northwind_0187,Indusind Bank Ltd.,upi,600.08,failed,transaction_frequency_limit_exceeded,1,3
pay_northwind_0188,Airtel Payments Bank Limited,upi,794.2,failed,transaction_frequency_limit_exceeded,8,17
pay_northwind_0189,State Bank of India,card,824.89,captured,,4,16
pay_northwind_0190,Bank of Baroda,upi,733.39,captured,,3,20
pay_northwind_0191,Bank Of India,upi,47.17,failed,payment_collect_request_expired,2,20
pay_northwind_0192,Federal Bank Ltd.,upi,850.61,captured,,2,27
pay_northwind_0193,Axis Bank Ltd.,card,84.21,captured,,5,9
pay_northwind_0194,HDFC Bank Ltd.,upi,31.44,captured,,4,11
pay_northwind_0195,Kotak Mahindra Bank,upi,549.5,captured,,5,8
pay_northwind_0196,India Post Payments Bank Limited,upi,996.57,captured,,0,27
pay_northwind_0197,Bank Of India,upi,589.73,failed,payment_pending_approval,17,24
pay_northwind_0198,Bank of Baroda,upi,2299.81,captured,,3,28
pay_northwind_0199,State Bank of India,upi,909.18,captured,,3,28
pay_northwind_0200,ICICI Bank Ltd.,upi,68.39,captured,,11,7
pay_northwind_0201,Canara Bank,card,277.93,captured,,19,10
pay_northwind_0202,State Bank of India,upi,20982.53,captured,,23,16
pay_northwind_0203,India Post Payments Bank Limited,upi,32.11,captured,,0,15
pay_northwind_0204,Indian Bank,upi,304.0,captured,,20,3
pay_northwind_0205,Kotak Mahindra Bank,netbanking,1277.1,captured,,23,16
pay_northwind_0206,Punjab National Bank,upi,52.25,captured,,12,2
pay_northwind_0207,Bank of Baroda,upi,69.68,captured,,1,26
pay_northwind_0208,Kotak Mahindra Bank,upi,1131.22,captured,,23,5
pay_northwind_0209,HDFC Bank Ltd.,upi,154.6,failed,payment_collect_request_expired,2,1
pay_northwind_0210,ICICI Bank Ltd.,card,2876.36,captured,,2,5
pay_northwind_0211,State Bank of India,upi,4910.69,failed,invalid_order_id,22,13
pay_northwind_0212,State Bank of India,upi,740.19,failed,collect_request_pending,1,3
pay_northwind_0213,HDFC Bank Ltd.,upi,315.24,failed,invalid_mobile_number,0,4
pay_northwind_0214,India Post Payments Bank Limited,upi,407.4,captured,,2,28
pay_northwind_0215,State Bank of India,upi,57.78,captured,,0,4
pay_northwind_0216,State Bank of India,upi,70.46,captured,,2,25
pay_northwind_0217,HDFC Bank Ltd.,upi,425.46,captured,,2,22
pay_northwind_0218,Canara Bank,upi,3439.51,captured,,23,27
pay_northwind_0219,Canara Bank,upi,799.29,captured,,23,18
pay_northwind_0220,HDFC Bank Ltd.,upi,346.97,captured,,17,11
pay_northwind_0221,UCO Bank,upi,427.35,captured,,4,16
pay_northwind_0222,Axis Bank Ltd.,upi,116.21,captured,,2,25
pay_northwind_0223,Federal Bank Ltd.,card,340.83,captured,,23,21
pay_northwind_0224,Union Bank of India,upi,715.34,captured,,0,24
pay_northwind_0225,State Bank of India,netbanking,182.38,captured,,5,8
pay_northwind_0226,State Bank of India,upi,3447.34,captured,,23,16
pay_northwind_0227,Indian Overseas Bank,upi,479.63,captured,,4,7
pay_northwind_0228,Canara Bank,upi,439.69,captured,,4,1
pay_northwind_0229,State Bank of India,upi,3690.8,captured,,4,21
pay_northwind_0230,State Bank of India,upi,6.35,captured,,2,21
pay_northwind_0231,Canara Bank,upi,109.16,failed,payment_declined,11,15
pay_northwind_0232,HDFC Bank Ltd.,upi,489.02,captured,,23,3
pay_northwind_0233,State Bank of India,upi,433.33,failed,payment_declined,10,18
pay_northwind_0234,India Post Payments Bank Limited,upi,880.0,captured,,5,1
pay_northwind_0235,HDFC Bank Ltd.,upi,912.26,captured,,21,23
pay_northwind_0236,State Bank of India,upi,128.24,captured,,5,21
pay_northwind_0237,State Bank of India,upi,526.38,captured,,11,13
pay_northwind_0238,Airtel Payments Bank Limited,upi,792.91,captured,,20,14
pay_northwind_0239,Bank Of India,upi,11.63,captured,,1,12
pay_northwind_0240,HDFC Bank Ltd.,upi,592.35,captured,,0,19
pay_northwind_0241,Bank Of India,upi,219.1,captured,,1,17
pay_northwind_0242,UCO Bank,upi,14.53,captured,,0,12
pay_northwind_0243,Axis Bank Ltd.,upi,924.37,captured,,23,22
pay_northwind_0244,Axis Bank Ltd.,upi,50.62,captured,,2,3
pay_northwind_0245,Bank of Maharashtra,upi,349.84,captured,,19,22
pay_northwind_0246,Axis Bank Ltd.,upi,102.12,captured,,0,14
pay_northwind_0247,India Post Payments Bank Limited,upi,323.8,captured,,22,22
pay_northwind_0248,Indian Overseas Bank,upi,903.64,captured,,23,11
pay_northwind_0249,State Bank of India,upi,49.72,captured,,4,9
pay_northwind_0250,Indian Bank,upi,243.73,captured,,17,15
pay_northwind_0251,Punjab National Bank,upi,105.55,captured,,1,22
pay_northwind_0252,State Bank of India,upi,59.61,captured,,5,16
pay_northwind_0253,State Bank of India,upi,980.27,captured,,3,20
pay_northwind_0254,State Bank of India,upi,169.22,captured,,5,4
pay_northwind_0255,Axis Bank Ltd.,card,969.25,captured,,4,8
pay_northwind_0256,HDFC Bank Ltd.,upi,235.65,captured,,23,6
pay_northwind_0257,Bank of Baroda,upi,909.74,captured,,0,1
pay_northwind_0258,State Bank of India,upi,134.45,captured,,4,23
pay_northwind_0259,State Bank of India,upi,124.38,captured,,4,26
pay_northwind_0260,Bank Of India,upi,159.51,captured,,5,22
pay_northwind_0261,Kotak Mahindra Bank,upi,34.72,captured,,1,9
pay_northwind_0262,HDFC Bank Ltd.,upi,163.68,captured,,21,28
pay_northwind_0263,State Bank of India,upi,143.47,captured,,23,8
pay_northwind_0264,State Bank of India,card,2783.31,failed,transaction_daily_count_exceeded,0,28
pay_northwind_0265,ICICI Bank Ltd.,upi,102.06,captured,,23,5
pay_northwind_0266,State Bank of India,upi,526.91,captured,,23,27
pay_northwind_0267,State Bank of India,upi,716.69,captured,,7,24
pay_northwind_0268,Punjab National Bank,upi,232.08,captured,,3,20
pay_northwind_0269,Punjab National Bank,upi,175.92,failed,credit_limit_exceeded,3,14
pay_northwind_0270,UCO Bank,upi,72.9,captured,,22,22
pay_northwind_0271,Bank of Maharashtra,upi,654.04,captured,,1,23
pay_northwind_0272,Axis Bank Ltd.,upi,115.12,captured,,8,19
pay_northwind_0273,Bank of Baroda,upi,927.85,captured,,17,25
pay_northwind_0274,State Bank of India,upi,389.08,captured,,1,13
pay_northwind_0275,Airtel Payments Bank Limited,upi,188.84,captured,,2,6
pay_northwind_0276,Central Bank of India,upi,510.12,captured,,13,4
pay_northwind_0277,Indian Overseas Bank,upi,341.22,captured,,3,4
pay_northwind_0278,Axis Bank Ltd.,upi,1470.22,failed,payment_session_expired,3,11
pay_northwind_0279,State Bank of India,upi,556.52,captured,,2,9
pay_northwind_0280,State Bank of India,upi,1491.01,captured,,2,10
pay_northwind_0281,HDFC Bank Ltd.,upi,507.93,captured,,4,5
pay_northwind_0282,State Bank of India,upi,1713.24,captured,,0,4
pay_northwind_0283,HDFC Bank Ltd.,netbanking,2225.04,captured,,3,2
pay_northwind_0284,State Bank of India,upi,82.85,captured,,20,28
pay_northwind_0285,Kotak Mahindra Bank,card,117.51,captured,,4,22
pay_northwind_0286,State Bank of India,upi,195.27,captured,,5,1
pay_northwind_0287,State Bank of India,upi,168.28,captured,,2,22
pay_northwind_0288,State Bank of India,upi,190.97,captured,,4,17
pay_northwind_0289,State Bank of India,upi,67.62,captured,,8,21
pay_northwind_0290,State Bank of India,card,2808.07,captured,,5,8
pay_northwind_0291,Kotak Mahindra Bank,upi,63.26,failed,transaction_daily_limit_exceeded,0,15
pay_northwind_0292,Bank Of India,upi,16.09,captured,,23,27
pay_northwind_0293,State Bank of India,upi,660.49,captured,,4,2
pay_northwind_0294,HDFC Bank Ltd.,upi,501.34,captured,,3,3
pay_northwind_0295,State Bank of India,upi,812.73,captured,,19,24
pay_northwind_0296,State Bank of India,upi,844.33,captured,,23,12
pay_northwind_0297,Kotak Mahindra Bank,upi,109.73,captured,,5,17
pay_northwind_0298,Indusind Bank Ltd.,upi,416.76,captured,,6,26
pay_northwind_0299,Central Bank of India,upi,800.7,failed,otp_attempts_exceeded,3,25
pay_northwind_0300,State Bank of India,upi,2470.22,captured,,3,18
pay_northwind_0301,India Post Payments Bank Limited,upi,439.99,captured,,23,12
pay_northwind_0302,Bank of Baroda,upi,182.18,captured,,0,17
pay_northwind_0303,Central Bank of India,upi,518.11,captured,,2,22
pay_northwind_0304,Kotak Mahindra Bank,upi,459.14,captured,,1,14
pay_northwind_0305,Federal Bank Ltd.,upi,189.56,captured,,2,28
pay_northwind_0306,Bank of Baroda,upi,107.1,captured,,2,19
pay_northwind_0307,State Bank of India,upi,240.56,captured,,2,5
pay_northwind_0308,Bank Of India,upi,734.52,captured,,18,3
pay_northwind_0309,Union Bank of India,upi,165.02,captured,,23,15
pay_northwind_0310,Indian Bank,upi,473.93,captured,,21,21
pay_northwind_0311,State Bank of India,upi,423.29,captured,,4,3
pay_northwind_0312,State Bank of India,upi,4973.87,captured,,1,3
pay_northwind_0313,State Bank of India,upi,769.1,captured,,1,12
pay_northwind_0314,Bank of Baroda,upi,333.09,failed,collect_request_pending,4,17
pay_northwind_0315,State Bank of India,netbanking,485.3,captured,,12,11
pay_northwind_0316,State Bank of India,upi,4877.76,failed,payment_declined,5,16
pay_northwind_0317,Union Bank of India,upi,791.74,captured,,13,1
pay_northwind_0318,State Bank of India,upi,861.86,captured,,8,24
pay_northwind_0319,Union Bank of India,upi,927.22,captured,,1,20
pay_northwind_0320,Fino Payments Bank Ltd.,upi,812.59,failed,payment_method_not_enabled,1,28
pay_northwind_0321,Union Bank of India,upi,129.38,captured,,0,27
pay_northwind_0322,Axis Bank Ltd.,upi,53.89,captured,,0,19
pay_northwind_0323,Kotak Mahindra Bank,upi,186.51,captured,,3,14
pay_northwind_0324,State Bank of India,upi,141.59,captured,,5,16
pay_northwind_0325,State Bank of India,card,21.37,captured,,0,7
pay_northwind_0326,Indian Bank,upi,438.66,captured,,4,28
pay_northwind_0327,State Bank of India,upi,202.63,captured,,1,25
pay_northwind_0328,Bank Of India,netbanking,818.02,captured,,0,6
pay_northwind_0329,Canara Bank,upi,320.25,captured,,21,11
pay_northwind_0330,State Bank of India,upi,992.7,captured,,23,18
pay_northwind_0331,Axis Bank Ltd.,upi,52.64,captured,,13,15
pay_northwind_0332,State Bank of India,upi,2646.27,captured,,2,21
pay_northwind_0333,Kotak Mahindra Bank,upi,293.34,captured,,2,15
pay_northwind_0334,Central Bank of India,upi,91.18,captured,,17,13
pay_northwind_0335,State Bank of India,upi,2735.46,captured,,23,22
pay_northwind_0336,HDFC Bank Ltd.,upi,4601.51,failed,collect_request_pending,3,16
pay_northwind_0337,Canara Bank,upi,882.94,captured,,3,15
pay_northwind_0338,State Bank of India,card,263.86,captured,,4,4
pay_northwind_0339,State Bank of India,upi,582.21,failed,authentication_failed,3,20
pay_northwind_0340,Central Bank of India,upi,442.78,captured,,0,12
pay_northwind_0341,State Bank of India,upi,641.01,captured,,0,25
pay_northwind_0342,ICICI Bank Ltd.,upi,56.55,captured,,15,7
pay_northwind_0343,State Bank of India,upi,24.3,captured,,23,17
pay_northwind_0344,State Bank of India,upi,352.97,captured,,6,22
pay_northwind_0345,Bank of Baroda,upi,128.01,captured,,1,5
pay_northwind_0346,ICICI Bank Ltd.,upi,3522.65,captured,,23,20
pay_northwind_0347,Indian Bank,upi,301.27,captured,,2,16
pay_northwind_0348,Bank of Baroda,upi,3324.53,captured,,6,15
pay_northwind_0349,Canara Bank,upi,767.32,captured,,23,1
pay_northwind_0350,ICICI Bank Ltd.,upi,702.96,captured,,12,23
pay_northwind_0351,Indian Overseas Bank,card,732.52,captured,,4,22
pay_northwind_0352,Indian Bank,upi,65.98,captured,,10,2
pay_northwind_0353,ICICI Bank Ltd.,upi,232.37,captured,,2,4
pay_northwind_0354,State Bank of India,upi,581.28,captured,,5,2
pay_northwind_0355,Canara Bank,upi,41.6,captured,,1,14
pay_northwind_0356,Axis Bank Ltd.,upi,596.07,captured,,3,28
pay_northwind_0357,Canara Bank,upi,1270.41,captured,,4,26
pay_northwind_0358,HDFC Bank Ltd.,upi,904.81,captured,,1,6
pay_northwind_0359,State Bank of India,upi,939.07,captured,,17,17
pay_northwind_0360,Kotak Mahindra Bank,upi,45.52,captured,,4,28
pay_northwind_0361,State Bank of India,upi,2325.12,captured,,3,24
pay_northwind_0362,India Post Payments Bank Limited,upi,930.17,failed,debit_declined,0,10
pay_northwind_0363,HDFC Bank Ltd.,upi,900.18,captured,,23,9
pay_northwind_0364,Bank Of India,upi,755.08,captured,,20,1
pay_northwind_0365,Canara Bank,upi,170.95,captured,,3,17
pay_northwind_0366,Union Bank of India,upi,303.47,captured,,1,27
pay_northwind_0367,Axis Bank Ltd.,upi,2765.75,captured,,0,14
pay_northwind_0368,Federal Bank Ltd.,upi,883.7,captured,,6,4
pay_northwind_0369,State Bank of India,upi,291.04,captured,,15,1
pay_northwind_0370,HDFC Bank Ltd.,upi,590.9,captured,,22,21
pay_northwind_0371,Indusind Bank Ltd.,upi,184.38,captured,,4,15
pay_northwind_0372,Indusind Bank Ltd.,upi,201.28,captured,,5,12
pay_northwind_0373,Union Bank of India,upi,180.03,captured,,2,13
pay_northwind_0374,State Bank of India,upi,718.86,failed,invalid_user_details,5,22
pay_northwind_0375,Kotak Mahindra Bank,upi,27.06,captured,,23,28
pay_northwind_0376,State Bank of India,upi,992.99,captured,,4,5
pay_northwind_0377,HDFC Bank Ltd.,upi,1354.42,failed,otp_expired,3,16
pay_northwind_0378,State Bank of India,upi,87.37,captured,,4,22
pay_northwind_0379,Central Bank of India,upi,731.81,captured,,1,4
pay_northwind_0380,ICICI Bank Ltd.,upi,186.58,captured,,15,22
pay_northwind_0381,Canara Bank,upi,382.49,captured,,23,27
pay_northwind_0382,Indian Bank,upi,43.26,captured,,4,22
pay_northwind_0383,Bank of Baroda,upi,1391.77,captured,,12,3
pay_northwind_0384,Kotak Mahindra Bank,upi,798.69,captured,,0,14
pay_northwind_0385,Canara Bank,upi,3864.7,captured,,0,13
pay_northwind_0386,HDFC Bank Ltd.,upi,240.4,captured,,0,26
pay_northwind_0387,State Bank of India,upi,617.21,captured,,16,9
pay_northwind_0388,State Bank of India,upi,2285.51,captured,,4,26
pay_northwind_0389,Indian Overseas Bank,upi,173.21,captured,,23,3
pay_northwind_0390,ICICI Bank Ltd.,upi,171.15,captured,,2,26
