payment_id,issuer,payment_method,amount_inr,status,error_reason,hour_of_day
pay_tinyshop_0087,State Bank of India,upi,817.01,captured,,19
pay_tinyshop_0088,Airtel Payments Bank Limited,card,440.59,captured,,6
pay_tinyshop_0089,State Bank of India,upi,807.11,captured,,10
pay_tinyshop_0090,State Bank of India,upi,590.31,captured,,20
pay_tinyshop_0091,Airtel Payments Bank Limited,upi,8.71,captured,,15
pay_tinyshop_0092,Central Bank of India,upi,923.14,captured,,21
pay_tinyshop_0093,Airtel Payments Bank Limited,upi,958.07,captured,,18
pay_tinyshop_0094,Axis Bank Ltd.,upi,665.67,captured,,22
pay_tinyshop_0095,State Bank of India,upi,264.43,captured,,12
pay_tinyshop_0096,Axis Bank Ltd.,upi,628.38,captured,,13
pay_tinyshop_0097,Airtel Payments Bank Limited,upi,471.43,captured,,20
pay_tinyshop_0098,Central Bank of India,card,148.48,captured,,21
pay_tinyshop_0099,State Bank of India,upi,197.45,captured,,11
pay_tinyshop_0100,Indian Bank,upi,1163.97,captured,,20
pay_tinyshop_0101,State Bank of India,upi,58.17,captured,,8
pay_tinyshop_0102,Union Bank of India,upi,88.77,captured,,10
pay_tinyshop_0103,Airtel Payments Bank Limited,upi,852.55,captured,,11
pay_tinyshop_0104,Union Bank of India,upi,495.75,captured,,16
pay_tinyshop_0105,Airtel Payments Bank Limited,upi,573.94,captured,,14
pay_tinyshop_0106,Kotak Mahindra Bank,upi,3806.22,captured,,22
pay_tinyshop_0107,Kotak Mahindra Bank,upi,803.46,captured,,22
pay_tinyshop_0108,ICICI Bank Ltd.,upi,756.66,captured,,3
pay_tinyshop_0109,Airtel Payments Bank Limited,upi,4222.34,captured,,20
pay_tinyshop_0110,Airtel Payments Bank Limited,upi,9.27,captured,,12
pay_tinyshop_0111,Airtel Payments Bank Limited,upi,77.35,captured,,16
pay_tinyshop_0112,Bank of Baroda,upi,712.57,captured,,16
pay_tinyshop_0113,Airtel Payments Bank Limited,upi,396.99,failed,invalid_device,15
pay_tinyshop_0114,State Bank of India,card,3.58,captured,,7
pay_tinyshop_0115,State Bank of India,upi,213.91,captured,,20
pay_tinyshop_0116,Airtel Payments Bank Limited,upi,820.14,failed,insufficient_funds,11
pay_tinyshop_0117,Airtel Payments Bank Limited,upi,200.51,failed,payment_pending_approval,22
pay_tinyshop_0118,ICICI Bank Ltd.,upi,135.79,captured,,14
pay_tinyshop_0119,Airtel Payments Bank Limited,upi,157.56,captured,,22
pay_tinyshop_0120,State Bank of India,upi,82.74,captured,,21
pay_tinyshop_0121,HDFC Bank Ltd.,upi,395.35,captured,,6
pay_tinyshop_0122,Union Bank of India,upi,460.36,captured,,18
pay_tinyshop_0123,Bank of Baroda,upi,627.77,captured,,6
pay_tinyshop_0124,State Bank of India,upi,598.56,captured,,22
pay_tinyshop_0125,Airtel Payments Bank Limited,upi,209.01,captured,,13
pay_tinyshop_0126,Airtel Payments Bank Limited,upi,291.18,captured,,16
pay_tinyshop_0127,Airtel Payments Bank Limited,upi,121.7,captured,,9
pay_tinyshop_0128,State Bank of India,upi,638.02,captured,,18
pay_tinyshop_0129,HDFC Bank Ltd.,upi,135.54,captured,,12
pay_tinyshop_0130,Punjab National Bank,upi,269.59,captured,,12
pay_tinyshop_0131,Airtel Payments Bank Limited,upi,10.07,captured,,14
pay_tinyshop_0132,Axis Bank Ltd.,upi,171.58,captured,,13
pay_tinyshop_0133,Bank of Baroda,upi,902.2,captured,,22
pay_tinyshop_0134,UCO Bank,upi,3071.53,captured,,13
pay_tinyshop_0135,Canara Bank,upi,44.52,captured,,14
pay_tinyshop_0136,State Bank of India,upi,634.68,captured,,19
pay_tinyshop_0137,State Bank of India,upi,2543.72,failed,transaction_daily_limit_exceeded,15
pay_tinyshop_0138,Airtel Payments Bank Limited,upi,698.88,captured,,11
pay_tinyshop_0139,Airtel Payments Bank Limited,upi,980.84,captured,,16
